08.02.2020|22:18:29*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
08.02.2020|21:48:47*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
08.02.2020|21:40:54*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|12:38:18*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|03:29:13*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|03:10:27*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|03:07:51*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|03:03:18*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|02:34:50*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|02:19:19*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|02:14:26*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|02:02:44*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|01:58:23*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|01:48:15*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|01:47:54*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|01:41:51*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|01:40:18*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|01:21:46*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|01:13:19*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|00:22:30*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|00:19:57*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|00:18:48*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|00:17:52*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|00:12:10*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|00:06:17*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
07.02.2020|00:03:06*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
06.02.2020|23:59:04*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
06.02.2020|23:57:26*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
06.02.2020|23:54:35*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
06.02.2020|23:48:34*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
06.02.2020|23:44:00*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
06.02.2020|23:40:22*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
06.02.2020|23:38:23*+#+*mh*+#+*1*+#+*Block-OB2*+#+*
06.02.2020|23:34:20*+#+*mh*+#+*1*+#+*Block-OB1*+#+*
06.02.2020|23:27:49*+#+*mh*+#+*1*+#+*Block-OB2*+#+*
